Inicio,Fin,Duración_s
2015-02-01 11:51:44.700,2015-02-01 11:52:18.275,"33,58"
2015-02-01 12:34:44.975,2015-02-01 12:34:45.025,"0,05"
2015-02-02 10:54:17.425,2015-02-02 10:56:12.525,"115,10"
2015-02-11 19:03:12.350,2015-02-11 19:06:01.125,"168,77"
2015-02-15 16:34:40.475,2015-02-15 16:34:41.525,"1,05"
2015-02-16 04:02:05.825,2015-02-16 04:02:06.050,"0,23"
2015-02-16 22:05:38.250,2015-02-16 22:07:54.200,"135,95"
2015-02-17 03:11:17.700,2015-02-17 03:11:33.225,"15,52"
2015-02-17 08:28:13.700,2015-02-17 08:30:51.725,"158,02"
2015-02-17 10:03:30.025,2015-02-17 10:04:57.675,"87,65"
2015-02-17 12:52:48.925,2015-02-17 12:54:25.575,"96,65"
2015-02-17 14:40:36.550,2015-02-17 14:41:20.050,"43,50"
2015-02-18 00:51:35.100,2015-02-18 00:51:35.400,"0,30"
2015-02-18 20:28:10.950,2015-02-18 20:28:10.975,"0,02"
2015-02-18 22:52:05.650,2015-02-18 22:52:05.725,"0,08"
2015-02-20 22:52:04.825,2015-02-20 22:52:05.050,"0,22"
2015-02-25 06:11:08.425,2015-02-25 06:11:08.825,"0,40"
2015-02-27 14:02:40.675,2015-02-27 14:02:43.750,"3,08"
2015-02-27 14:13:05.125,2015-02-27 14:13:08.050,"2,92"
2015-02-28 17:06:08.775,2015-02-28 17:06:29.050,"20,27"
2015-02-28 19:32:20.475,2015-02-28 19:33:01.925,"41,45"
