E,N,Z,Fecha,Hora,Magnitud_Filtrada_MI,Fin_Evento,Duracion_Evento_s
-6148,-9187,-12894,2015-02-01,00:07:23,609.1712742155465,2015-02-01 00:07:29,5.4
-6284,-9172,-12808,2015-02-01,00:07:23,682.4408290302786,2015-02-01 00:07:29,5.4
-6366,-9166,-12698,2015-02-01,00:07:23,647.7851983951857,2015-02-01 00:07:29,5.4
-6430,-9148,-12602,2015-02-01,00:07:23,483.361387444995,2015-02-01 00:07:29,5.4
-6535,-9143,-12463,2015-02-01,00:07:23,211.31254269759734,2015-02-01 00:07:29,5.4
-11118,-10238,-4848,2015-02-01,00:07:24,174.2953849442871,2015-02-01 00:07:29,5.4
-11168,-10280,-4799,2015-02-01,00:07:24,305.4265470097407,2015-02-01 00:07:29,5.4
-11198,-10314,-4747,2015-02-01,00:07:24,365.8170686175056,2015-02-01 00:07:29,5.4
-11274,-10349,-4678,2015-02-01,00:07:24,363.7255100971171,2015-02-01 00:07:29,5.4
-11312,-10392,-4626,2015-02-01,00:07:24,323.9646552996811,2015-02-01 00:07:29,5.4
-11320,-10434,-4576,2015-02-01,00:07:24,274.7242987386005,2015-02-01 00:07:29,5.4
-11381,-10476,-4503,2015-02-01,00:07:24,237.30757357529333,2015-02-01 00:07:29,5.4
-11424,-10498,-4457,2015-02-01,00:07:24,222.07976728955774,2015-02-01 00:07:29,5.4
-11436,-10527,-4377,2015-02-01,00:07:24,229.5198344461781,2015-02-01 00:07:29,5.4
-11422,-10571,-4329,2015-02-01,00:07:24,253.09329755439097,2015-02-01 00:07:29,5.4
-11484,-10615,-4259,2015-02-01,00:07:24,281.46226384464916,2015-02-01 00:07:29,5.4
-11469,-10656,-4184,2015-02-01,00:07:24,299.9414116103278,2015-02-01 00:07:29,5.4
-11391,-10706,-4115,2015-02-01,00:07:24,292.87969014688343,2015-02-01 00:07:29,5.4
-11437,-10733,-4049,2015-02-01,00:07:24,248.32340739193074,2015-02-01 00:07:29,5.4
-11385,-10762,-3950,2015-02-01,00:07:24,164.063452042114,2015-02-01 00:07:29,5.4
